NAME,Principal_Point_Coordinate_X0_mm,Principal_Point_Coordinate_Y0_mm,Rover_Location_xyz_x_m,Rover_Location_xyz_y_m,Rover_Location_xyz_z_m,camera_center_position_x_m,camera_center_position_y_m,camera_center_position_z_m,camera_rotation_angle_roll,camera_rotation_angle_pitch,camera_rotation_angle_yaw
20220112071215_HX1-Ro_GRAS_NaTeCamA-F-001_SCI_N_20220112071215_20220112071215_00237_A.jpg,-0.010971,0.015313,92.270385,-984.89616,-10.143289,0.23809,-0.587284,1.549838,-54.682938,62.718924,56.906621
20220122134638_HX1-Ro_GRAS_NaTeCamA-F-001_SCI_N_20220122134638_20220122134638_00247_A.jpg,-0.010971,0.015313,143.211949,-1016.19108,-12.014616,0.287333,-0.521828,1.520444,-43.200802,46.027076,53.217203
20220129175005_HX1-Ro_GRAS_NaTeCamA-F-001_SCI_N_20220129175005_20220129175005_00254_A.jpg,-0.010971,0.015313,130.375364,-1073.37624,-11.602299,-0.72915,-0.152399,1.561384,-62.916377,6.272964,89.352727
20220130180124_HX1-Ro_GRAS_NaTeCamA-F-001_SCI_N_20220130180124_20220130180124_00255_A.jpg,-0.010971,0.015313,130.375364,-1073.37624,-11.602299,-0.445325,-0.374424,1.570056,68.100805,37.249035,-77.896943
20220110055223_HX1-Ro_GRAS_NaTeCamA-F-002_SCI_N_20220110055223_20220110055223_00235_A.jpg,-0.010971,0.015313,92.270385,-984.89616,-10.143289,-0.044801,-0.774525,1.554728,-49.516514,-60.29406,129.962991
20220112071350_HX1-Ro_GRAS_NaTeCamA-F-002_SCI_N_20220112071350_20220112071350_00237_A.jpg,-0.010971,0.015313,92.270385,-984.89616,-10.143289,0.152559,-0.555438,1.552679,-72.319338,36.174366,78.808645
20220113075009_HX1-Ro_GRAS_NaTeCamA-F-002_SCI_N_20220113075009_20220113075009_00238_A.jpg,-0.010971,0.015313,106.456076,-998.553898,-10.684802,0.582496,-0.567858,1.535353,51.061138,-56.378133,-120.884143
20220117102921_HX1-Ro_GRAS_NaTeCamA-F-002_SCI_N_20220117102921_20220117102921_00242_A.jpg,-0.010971,0.015313,127.697072,-1008.003071,-11.462616,0.556433,-0.3423,1.52727,-45.852699,-60.682793,133.1845
20220119114707_HX1-Ro_GRAS_NaTeCamA-F-002_SCI_N_20220119114707_20220119114707_00244_A.jpg,-0.010971,0.015313,143.211949,-1016.19108,-12.014616,0.253842,-0.530378,1.5418,-63.672702,38.67041,73.539548
20220122134813_HX1-Ro_GRAS_NaTeCamA-F-002_SCI_N_20220122134813_20220122134813_00247_A.jpg,-0.010971,0.015313,143.211949,-1016.19108,-12.014616,0.184834,-0.520807,1.521651,-57.094766,23.082415,76.551064
20220123142439_HX1-Ro_GRAS_NaTeCamA-F-002_SCI_N_20220123142439_20220123142439_00248_A.jpg,-0.010971,0.015313,149.077243,-1049.057057,-12.235796,0.050686,-0.569564,1.559605,-73.214986,-7.717985,92.451047
20220125154340_HX1-Ro_GRAS_NaTeCamA-F-002_SCI_N_20220125154340_20220125154340_00250_A.jpg,-0.010971,0.015313,141.324657,-1068.28289,-11.965429,-0.401691,-0.566831,1.546582,-72.118243,-2.78477,94.172896
20220129175140_HX1-Ro_GRAS_NaTeCamA-F-002_SCI_N_20220129175140_20220129175140_00254_A.jpg,-0.010971,0.015313,130.375364,-1073.37624,-11.602299,-0.795285,-0.231088,1.563603,-60.46679,-19.242245,104.950614
20220130180259_HX1-Ro_GRAS_NaTeCamA-F-002_SCI_N_20220130180259_20220130180259_00255_A.jpg,-0.010971,0.015313,130.375364,-1073.37624,-11.602299,-0.438732,-0.283364,1.571565,51.943103,64.269101,-56.903961
20220110055358_HX1-Ro_GRAS_NaTeCamA-F-003_SCI_N_20220110055358_20220110055358_00235_A.jpg,-0.010971,0.015313,92.270385,-984.89616,-10.143289,-0.00021,-0.858259,1.554254,16.180054,-69.319782,-158.715739
20220112071525_HX1-Ro_GRAS_NaTeCamA-F-003_SCI_N_20220112071525_20220112071525_00237_A.jpg,-0.010971,0.015313,92.270385,-984.89616,-10.143289,0.06229,-0.570428,1.556406,-76.536953,7.652748,88.550505
20220113075144_HX1-Ro_GRAS_NaTeCamA-F-003_SCI_N_20220113075144_20220113075144_00238_A.jpg,-0.010971,0.015313,106.456076,-998.553898,-10.684802,0.675813,-0.586363,1.533663,65.395014,-30.382301,-100.144031
20220117103056_HX1-Ro_GRAS_NaTeCamA-F-003_SCI_N_20220117103056_20220117103056_00242_A.jpg,-0.010971,0.015313,127.697072,-1008.003071,-11.462616,0.603207,-0.425152,1.526152,19.83519,-68.002749,-155.714542
20220119114842_HX1-Ro_GRAS_NaTeCamA-F-003_SCI_N_20220119114842_20220119114842_00244_A.jpg,-0.010971,0.015313,143.211949,-1016.19108,-12.014616,0.160074,-0.54494,1.543039,-69.709652,11.394352,86.750053
20220122134948_HX1-Ro_GRAS_NaTeCamA-F-003_SCI_N_20220122134948_20220122134948_00247_A.jpg,-0.010971,0.015313,143.211949,-1016.19108,-12.014616,0.094399,-0.57158,1.523164,-60.308428,-2.587004,92.59538
20220123142614_HX1-Ro_GRAS_NaTeCamA-F-003_SCI_N_20220123142614_20220123142614_00248_A.jpg,-0.010971,0.015313,149.077243,-1049.057057,-12.235796,0.00119,-0.65062,1.56539,-69.687959,-35.406632,104.396065
20220125154515_HX1-Ro_GRAS_NaTeCamA-F-003_SCI_N_20220125154515_20220125154515_00250_A.jpg,-0.010971,0.015313,141.324657,-1068.28289,-11.965429,-0.457047,-0.644218,1.547208,-67.858433,-30.368321,106.034455
20220129175315_HX1-Ro_GRAS_NaTeCamA-F-003_SCI_N_20220129175315_20220129175315_00254_A.jpg,-0.010971,0.015313,130.375364,-1073.37624,-11.602299,-0.813633,-0.332863,1.562557,-48.190772,-42.854969,126.84683
